code,name,sectionCode
A285010,KBSTAR 200중공업,10
A285020,KBSTAR 200철강소재,10
A285690,FOCUS ESG리더스,10
A287180,ARIRANG 미국나스닥기술주,10
A287300,KBSTAR 200건설,10
A287310,KBSTAR 200경기소비재,10
A287320,KBSTAR 200산업재,10
A287330,KBSTAR 200생활소비재,10
A289040,KODEX MSCI KOREA ESG유니버설,10
A289250,TIGER MSCI KOREA ESG유니버설,10
A289260,TIGER MSCI KOREA ESG리더스,10
A289480,TIGER 200커버드콜ATM,10
A289670,ARIRANG 국채선물10년,10
A290080,KBSTAR 200고배당커버드콜ATM,10
A290130,KBSTAR ESG사회책임투자,10
A291130,KINDEX 멕시코MSCI(합성),10
A291610,KOSEF 코스닥150선물,10
A291620,KOSEF 코스닥150선물인버스,10
A291630,KOSEF 코스닥150선물레버리지,10
A291660,KODEX China H선물인버스(H),10
A291680,KBSTAR 차이나H선물인버스(H),10
A291890,KODEX MSCI EM선물(H),10
A292050,KBSTAR KRX300,10
A292100,TIGER 대형성장,10
A292110,TIGER 대형가치,10
A292120,TIGER 중소형,10
A292130,TIGER 중소형성장,10
A292140,TIGER 중소형가치,10
A292150,TIGER TOP10,10
A292160,TIGER KRX300,10
A292190,KODEX KRX300,10
A292340,마이티 200커버드콜ATM레버리지,10
A292500,SMART KRX300,10
A292560,TIGER 일본엔선물,10
A292570,TIGER 일본엔선물레버리지,10
A292580,TIGER 일본엔선물인버스,10
A292590,TIGER 일본엔선물인버스2X,10
A292730,FOCUS KRX300,10
A292750,ARIRANG KRX300,10
A292770,KODEX 국채선물3년인버스,10
A293180,HANARO 200,10
A294400,KOSEF 200TR,10
A295000,KBSTAR 국채선물10년,10
A295020,KBSTAR 국채선물10년인버스,10
A295040,SMART 200TR,10
A295820,ARIRANG 200동일가중,10
A295840,ARIRANG 200밸류,10
A295860,ARIRANG 200모멘텀,10
A295880,ARIRANG 200퀄리티,10
A295890,ARIRANG 200로우볼,10
A296710,KODEX FnKorea50,10
A298340,ARIRANG 국채선물3년,10
A298770,KODEX 한국대만IT프리미어,10
A299070,KINDEX 국채선물10년인버스,10
A299080,KINDEX 국채선물3년인버스,10
A300280,KBSTAR 중소형모멘텀로우볼,10
A300290,KBSTAR 중소형모멘텀밸류,10
A300300,KBSTAR KQ모멘텀로우볼,10
A300310,KBSTAR KQ모멘텀밸류,10
A300610,TIGER K게임,10
A300640,KBSTAR 게임테마,10
A300950,KODEX 게임산업,10
A301400,ARIRANG 코스닥150,10
A301410,ARIRANG 코스닥150선물인버스,10
A301440,ARIRANG 코스피중형주,10
A302170,TIGER 국채선물3년인버스,10
A302180,TIGER 국채선물10년인버스,10
A302190,TIGER 중장기국채,10
A302200,TIGER 중장기국채선물인버스,10
A302210,TIGER 중장기국채선물인버스2X,10
A302450,KBSTAR 코스피,10
A304660,KODEX 미국채울트라30년선물(H),10
A304670,KODEX 미국채울트라30년선물인버스(H),10
A304760,HANARO KRX300,10
A304770,HANARO 코스닥150,10
A304780,HANARO 200선물레버리지,10
A304940,KODEX 미국나스닥100선물(H),10
A305050,KINDEX 코스피,10
A305080,TIGER 미국채10년선물,10
A305540,TIGER 2차전지테마,10
A305720,KODEX 2차전지산업,10
A306520,HANARO 200선물인버스,10
A306530,HANARO 코스닥150선물레버리지,10
A306540,HANARO 단기통안채,10
A306950,KODEX KRX300레버리지,10
A306960,KODEX KRX300선물인버스,10
A307010,KBSTAR KRX300레버리지,10
A307020,KBSTAR KRX300선물인버스,10
A307510,TIGER 의료기기,10
A307520,TIGER 지주회사,10
A307610,TIGER KRX300레버리지,10
A307620,TIGER KRX300선물인버스,10
A308620,KODEX 미국채10년선물,10
A309170,ARIRANG KRX300IT,10
A309180,ARIRANG KRX300금융,10
A309190,ARIRANG KRX300산업재,10
A309200,ARIRANG KRX300자유소비재,10
A309210,ARIRANG KRX300헬스케어,10
A309230,KINDEX 미국WideMoat가치주,10
A310080,KBSTAR 중국MSCI China선물(H),10
A310960,TIGER 200TR,10
A310970,TIGER MSCI Korea TR,10
A314250,KODEX 미국FANG플러스(H),10
A314700,HANARO 농업융복합산업,10
A315270,TIGER 200커뮤니케이션서비스,10
A315480,KBSTAR 200커뮤니케이션서비스,10
A315930,KODEX Top5PlusTR,10
A315960,KBSTAR 대형고배당10TR,10
A316300,KINDEX 싱가포르리츠,10
A316670,KOSEF 코스닥150,10
A319640,TIGER 골드선물(H),10
A319870,KBSTAR KRX300미국달러선물혼합,10
A321410,KODEX 멀티에셋하이인컴(H),10
A322120,KINDEX 스마트퀄리티,10
A322130,KINDEX 스마트로우볼,10
A322150,KINDEX 스마트하이베타,10
A322400,HANARO e커머스,10
A322410,HANARO 고배당,10
A325010,KODEX Fn성장,10
A325020,KODEX 배당가치,10
A326230,KBSTAR 내수주플러스,10
A326240,KBSTAR IT플러스,10
A328370,ARIRANG 코스피TR,10
A329200,TIGER 부동산인프라고배당,10
A329650,KODEX TRF3070,10
A329660,KODEX TRF5050,10
A329670,KODEX TRF7030,10
A329750,TIGER 미국달러단기채권액티브,10
A331910,KOSEF Fn중소형,10
A332500,KINDEX 200TR,10
A332610,ARIRANG 미국단기우량회사채,10
A332620,ARIRANG 미국장기우량회사채,10
A332930,HANARO 200TR,10
A332940,HANARO MSCI Korea TR,10
A333940,ARIRANG KS로우볼가중TR,10
A333950,ARIRANG KS로우사이즈가중TR,10
A333960,ARIRANG KS모멘텀가중TR,10
A333970,ARIRANG KS밸류가중TR,10
A333980,ARIRANG KS퀄리티가중TR,10
A334690,KBSTAR 팔라듐선물(H),10
A334700,KBSTAR 팔라듐선물인버스(H),10
code,name,sectionCode
A069500,KODEX 200,10
A069660,KOSEF 200,10
A091160,KODEX 반도체,10
A091170,KODEX 은행,10
A091180,KODEX 자동차,10
A091220,TIGER 은행,10
A091230,TIGER 반도체,10
A097750,TREX 중소형가치,10
A098560,TIGER 방송통신,10
A099140,KODEX China H,10
A100910,KOSEF KRX100,10
A101280,KODEX 일본TOPIX100,10
A102110,TIGER 200,10
A102780,KODEX 삼성그룹,10
A102960,KODEX 기계장비,10
A102970,KODEX 증권,10
A104520,KOSEF 블루칩,10
A104530,KOSEF 고배당,10
A105010,TIGER 라틴35,10
A105190,KINDEX 200,10
A105780,KBSTAR 5대그룹주,10
A108450,KINDEX 삼성그룹섹터가중,10
A108590,TREX 200,10
A114100,KBSTAR 국고채3년,10
A114260,KODEX 국고채3년,10
A114460,KINDEX 중기국고채,10
A114470,KOSEF 국고채3년,10
A114800,KODEX 인버스,10
A114820,TIGER 국채3년,10
A117460,KODEX 에너지화학,10
A117680,KODEX 철강,10
A117690,TIGER 차이나항셍25,10
A117700,KODEX 건설,10
A122090,ARIRANG 코스피50,10
A122260,KOSEF 통안채1년,10
A122630,KODEX 레버리지,10
A123310,TIGER 인버스,10
A123320,TIGER 레버리지,10
A130680,TIGER 원유선물Enhanced(H),10
A130730,KOSEF 단기자금,10
A131890,KINDEX 삼성그룹동일가중,10
A132030,KODEX 골드선물(H),10
A133690,TIGER 미국나스닥100,10
A136340,KBSTAR 중기우량회사채,10
A137610,TIGER 농산물선물Enhanced(H),10
A137930,마이다스 200커버드콜5%OTM,10
A138230,KOSEF 미국달러선물,10
A138520,TIGER 삼성그룹펀더멘털,10
A138530,TIGER LG그룹+펀더멘털,10
A138540,TIGER 현대차그룹+펀더멘털,10
A138910,KODEX 구리선물(H),10
A138920,KODEX 콩선물(H),10
A139220,TIGER 200 건설,10
A139230,TIGER 200 중공업,10
A139240,TIGER 200 철강소재,10
A139250,TIGER 200 에너지화학,10
A139260,TIGER 200 IT,10
A139270,TIGER 200 금융,10
A139280,TIGER 경기방어,10
A139290,TIGER 200 경기소비재,10
A139310,TIGER 금속선물(H),10
A139320,TIGER 금은선물(H),10
A139660,KOSEF 미국달러선물인버스,10
A140570,KBSTAR 수출주,10
A140580,KBSTAR 우량업종,10
A140700,KODEX 보험,10
A140710,KODEX 운송,10
A140950,파워 코스피100,10
A143460,KINDEX 밸류대형,10
A143850,TIGER 미국S&P500선물(H),10
A143860,TIGER 헬스케어,10
A144600,KODEX 은선물(H),10
A145670,KINDEX 인버스,10
A145850,TREX 펀더멘탈 200,10
A147970,TIGER 모멘텀,10
A148020,KBSTAR 200,10
A148070,KOSEF 국고채10년,10
A150460,TIGER 중국소비테마,10
A152100,ARIRANG 200,10
A152280,KOSEF 200 선물,10
A152380,KODEX 국채선물10년,10
A152500,KINDEX 레버리지,10
A152870,파워 200,10
A153130,KODEX 단기채권,10
A153270,KOSEF 코스피100,10
A156080,KODEX MSCI Korea,10
A157450,TIGER 단기통안채,10
A157490,TIGER 소프트웨어,10
A157500,TIGER 증권,10
A159800,마이티 코스피100,10
A160580,TIGER 구리실물,10
A161510,ARIRANG 고배당주,10
A166400,TIGER 200커버드콜5%OTM,10
A167860,KOSEF 국고채10년레버리지,10
A168300,KTOP 코스피50,10
A168580,KINDEX 중국본토CSI300,10
A169950,KODEX 중국본토 A50,10
A170350,TIGER 베타플러스,10
A174350,TIGER 로우볼,10
A174360,KBSTAR 중국본토대형주CSI100,10
A176710,파워 중기국고채,10
A176950,KODEX 국채선물10년인버스,10
A181480,KINDEX 미국다우존스리츠(합성 H),10
A182480,TIGER 미국MSCI리츠(합성 H),10
